"boatID","days1","days2","midTrips","boatType","boatCode","paintType","paintRating","LocID","n","n0"
"231",15,237,435,8,"Yacht",2,"Ablative","Good","PN",1,1
"232",15,237,435,8,"Yacht",2,"Ablative","Good","DH",1,1
"233",15,237,435,8,"Yacht",2,"Ablative","Good","HAB",2,1
"234",15,237,435,8,"Yacht",2,"Ablative","Good","ID",1,1
"235",15,237,435,8,"Yacht",2,"Ablative","Good","IF",1,1
"236",15,237,435,8,"Yacht",2,"Ablative","Good","HX",1,0
"237",15,237,435,8,"Yacht",2,"Ablative","Good","HD",1,1
"238",15,237,435,8,"Yacht",2,"Ablative","Good","II",1,1
"239",15,237,435,8,"Yacht",2,"Ablative","Good","DA",1,1
"240",15,237,435,8,"Yacht",2,"Ablative","Good","DD",1,1
"241",15,237,435,8,"Yacht",2,"Ablative","Good","HA",4,0
"242",15,237,435,8,"Yacht",2,"Ablative","Good","PJ",2,0
"243",15,237,435,8,"Yacht",2,"Ablative","Good","HP",2,0
"244",15,237,435,8,"Yacht",2,"Ablative","Good","HK",2,0
"245",15,237,435,8,"Yacht",2,"Ablative","Good","PB",1,0
"246",15,237,435,8,"Yacht",2,"Ablative","Good","HZ",1,1
"247",15,237,435,8,"Yacht",2,"Ablative","Good","IH",1,1
"248",15,237,435,8,"Yacht",2,"Ablative","Good","PM",1,1
"249",16,6,282,3.5,"Motor cruiser",17,"Ablative","Good","PJ",2,0
"250",16,6,282,3.5,"Motor cruiser",17,"Ablative","Good","HA",5,0
"251",16,6,282,3.5,"Motor cruiser",17,"Ablative","Good","HH",1,0
"252",16,6,282,3.5,"Motor cruiser",17,"Ablative","Good","IB",2,1
"253",16,6,282,3.5,"Motor cruiser",17,"Ablative","Good","DA",1,1
"254",16,6,282,3.5,"Motor cruiser",17,"Ablative","Good","HD",2,1
"255",16,6,282,3.5,"Motor cruiser",17,"Ablative","Good","HK",1,1
"256",16,6,282,3.5,"Motor cruiser",17,"Ablative","Good","PB",1,0
"257",16,6,282,3.5,"Motor cruiser",17,"Ablative","Good","PH",1,0
"258",16,6,282,3.5,"Motor cruiser",17,"Ablative","Good","ID",1,0
"259",16,6,282,3.5,"Motor cruiser",17,"Ablative","Good","HP",1,0
"260",16,6,282,3.5,"Motor cruiser",17,"Ablative","Good","HC",1,0
"261",16,6,282,3.5,"Motor cruiser",17,"Ablative","Good","PG",1,0
"262",16,6,282,3.5,"Motor cruiser",17,"Ablative","Good","PM",1,1
"263",16,6,282,3.5,"Motor cruiser",17,"Ablative","Good","IH",1,1
"264",16,6,282,3.5,"Motor cruiser",17,"Ablative","Good","PN",1,1
"265",17,4,352,155,"Fish",15,"Hard","Very Poor","PA",1,0
"266",17,4,352,155,"Fish",15,"Hard","Very Poor","PJ",2,0
"267",17,4,352,155,"Fish",15,"Hard","Very Poor","IF",1,1
"268",17,4,352,155,"Fish",15,"Hard","Very Poor","HA",6,0
"269",17,4,352,155,"Fish",15,"Hard","Very Poor","IL",1,0
"270",17,4,352,155,"Fish",15,"Hard","Very Poor","IB",9,0
"271",17,4,352,155,"Fish",15,"Hard","Very Poor","IA",2,2
"272",17,4,352,155,"Fish",15,"Hard","Very Poor","HD",2,0
"273",17,4,352,155,"Fish",15,"Hard","Very Poor","HAB",3,0
"274",17,4,352,155,"Fish",15,"Hard","Very Poor","HK",1,0
"275",17,4,352,155,"Fish",15,"Hard","Very Poor","HR",2,0
"276",17,4,352,155,"Fish",15,"Hard","Very Poor","HX",3,0
"277",17,4,352,155,"Fish",15,"Hard","Very Poor","ID",2,2
"278",17,4,352,155,"Fish",15,"Hard","Very Poor","HC",2,0
"279",17,4,352,155,"Fish",15,"Hard","Very Poor","PB",1,0
"280",18,6,353,10,"Fish",15,"Self-polishing","Good","HD",1,1
"281",18,6,353,10,"Fish",15,"Self-polishing","Good","HH",2,0
"282",18,6,353,10,"Fish",15,"Self-polishing","Good","HAA",1,1
"283",18,6,353,10,"Fish",15,"Self-polishing","Good","HAB",1,0
"284",18,6,353,10,"Fish",15,"Self-polishing","Good","PJ",1,0
"285",18,6,353,10,"Fish",15,"Self-polishing","Good","IB",3,0
"286",18,6,353,10,"Fish",15,"Self-polishing","Good","HX",1,0
"287",18,6,353,10,"Fish",15,"Self-polishing","Good","IP",1,1
"288",18,6,353,10,"Fish",15,"Self-polishing","Good","HA",6,0
"289",18,6,353,10,"Fish",15,"Self-polishing","Good","IH",1,1
"290",18,6,353,10,"Fish",15,"Self-polishing","Good","PG",1,0
"291",18,6,353,10,"Fish",15,"Self-polishing","Good","II",1,1
"292",18,6,353,10,"Fish",15,"Self-polishing","Good","HAF",1,0
"293",18,6,353,10,"Fish",15,"Self-polishing","Good","PN",1,1
"294",18,6,353,10,"Fish",15,"Self-polishing","Good","PM",1,1
"295",18,6,353,10,"Fish",15,"Self-polishing","Good","DA",1,1
"296",18,6,353,10,"Fish",15,"Self-polishing","Good","PH",1,0
"297",18,6,353,10,"Fish",15,"Self-polishing","Good","PB",1,0
"298",18,6,353,10,"Fish",15,"Self-polishing","Good","HF",2,0
