"boatID","days1","days2","midTrips","boatType","boatCode","paintType","paintRating","wetWeight","LocID","Location","LocCode","samLab","wetWeight1","wetWeight2"
"163",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0,"PH","Rudder",2,NA,FALSE,TRUE
"164",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0,"PM","Anchor",2,NA,FALSE,TRUE
"165",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0,"PN","Anchor",2,NA,FALSE,TRUE
"166",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0.5,"HH","Wet Hull",1,"Depth sounder (transducer) scrape",FALSE,TRUE
"167",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0.5,"IB","Internal spaces",3,"Galley sink scrape",FALSE,TRUE
"168",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0.5,"IA","Internal spaces",3,"Galley sink water",FALSE,TRUE
"169",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0.5,"HP","Wet Hull",1,"Hull #1 starboard stern keel",FALSE,TRUE
"170",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0.5,"HA","Wet Hull",1,"Hull #2 starboard midship",FALSE,TRUE
"171",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0.5,"HA","Wet Hull",1,"Hull #3 starboard bow",FALSE,TRUE
"172",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0.5,"HA","Wet Hull",1,"Hull #5 port midship",FALSE,TRUE
"173",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0.5,"HP","Wet Hull",1,"Hull #6 port stern keel",FALSE,TRUE
"174",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0.5,"HD","Wet Hull",1,"Main engine inlet scrape",FALSE,TRUE
"175",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0.5,"HK","Wet Hull",1,"Paddle wheel scrape port",FALSE,TRUE
"176",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0.5,"HK","Wet Hull",1,"Paddle wheel scrape starboard",FALSE,TRUE
"177",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0.5,"PJ","Rudder",2,"Rudder quadrat port",FALSE,TRUE
"178",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0.5,"IB","Internal spaces",3,"Sink outlet (starboard)",FALSE,TRUE
"179",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0.5,"IB","Internal spaces",3,"Sink outlet scrape",FALSE,TRUE
"180",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0.5,"IA","Internal spaces",3,"Sink outlet water",FALSE,TRUE
"181",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0.5,"IB","Internal spaces",3,"Toilet outlet scrape",FALSE,TRUE
"182",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",0.5,"IA","Internal spaces",3,"Toilet outlet water",FALSE,TRUE
"183",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",3,"HA","Wet Hull",1,"Hull #4 port bow",TRUE,FALSE
"184",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor",5,"PJ","Rudder",2,"Rudder quadrat starboard",TRUE,FALSE
"185",8,4,249,11.5,"Yacht",2,NA,NA,0,"IH","Internal spaces",3,NA,FALSE,TRUE
"186",8,4,249,11.5,"Yacht",2,NA,NA,0,"II","Internal spaces",3,NA,FALSE,TRUE
"187",8,4,249,11.5,"Yacht",2,NA,NA,0.5,"ID","Internal spaces",3,"Bilge water",FALSE,TRUE
"188",8,4,249,11.5,"Yacht",2,NA,NA,0.5,"IA","Internal spaces",3,"Toilet inlet water",FALSE,TRUE
"189",8,4,249,11.5,"Yacht",2,NA,NA,0.5,"IB","Internal spaces",3,"Toilet outlet scrape",FALSE,TRUE
"190",8,4,249,11.5,"Yacht",2,NA,NA,0.5,"IA","Internal spaces",3,"Toilet outlet water",FALSE,TRUE
"191",8,4,249,11.5,"Yacht",2,NA,NA,2.88,"IB","Internal spaces",3,"Toilet inlet scrape",TRUE,FALSE
